date,annee,mois,type_bien,surface,prix,prix_m2,pieces,code_postal,quartier
2023-03-01,2023,3,Appartement,73.0,190000.0,2602.74,4,83000,Centre-ville
2023-03-01,2023,3,Appartement,132.0,420000.0,3181.82,4,83200,Est (La Valette / La Garde)
2023-03-01,2023,3,Appartement,33.0,420000.0,12727.27,2,83200,Est (La Valette / La Garde)
2023-02-27,2023,2,Appartement,28.0,86000.0,3071.43,2,83200,Est (La Valette / La Garde)
2023-02-15,2023,2,Appartement,47.0,140000.0,2978.72,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-03-06,2023,3,Maison,77.0,403000.0,5233.77,4,83200,Est (La Valette / La Garde)
2023-03-06,2023,3,Appartement,28.0,250000.0,8928.57,1,83200,Est (La Valette / La Garde)
2023-03-03,2023,3,Appartement,26.0,82000.0,3153.85,1,83000,Centre-ville
2023-03-03,2023,3,Appartement,61.0,190000.0,3114.75,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var)
2023-02-27,2023,2,Appartement,53.0,175000.0,3301.89,3,83000,Centre-ville
2023-02-22,2023,2,Appartement,81.0,251100.0,3100.0,4,83000,Centre-ville
2023-02-17,2023,2,Appartement,25.0,98000.0,3920.0,1,83000,Centre-ville
2023-03-07,2023,3,Appartement,49.0,117000.0,2387.76,3,83200,Est (La Valette / La Garde)
2023-03-06,2023,3,Appartement,74.0,140000.0,1891.89,3,83200,Est (La Valette / La Garde)
2023-03-02,2023,3,Maison,77.0,140000.0,1818.18,3,83200,Est (La Valette / La Garde)
2023-03-07,2023,3,Appartement,35.0,38000.0,1085.71,1,83000,Centre-ville
2023-03-06,2023,3,Appartement,47.0,144000.0,3063.83,2,83200,Est (La Valette / La Garde)
2023-03-02,2023,3,Maison,53.0,357790.0,6750.75,4,83200,Est (La Valette / La Garde)
2023-03-03,2023,3,Appartement,43.0,257150.0,5980.23,2,83000,Centre-ville
2023-02-07,2023,2,Appartement,62.0,122000.0,1967.74,3,83200,Est (La Valette / La Garde)
